elapsed_time,steer_angle,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,yaw_rate,acc_x,acc_y,true_vx,true_x,true_y,true_yaw
0.01,-0.25,0.0,0.0,0.0,0.0,-0.017,0.057,-0.064,0.15,0.209,0.31,-0.022
0.03,-0.25,0.0,0.0,0.0,0.0,-0.019,0.043,-0.033,0.15,0.212,0.315,-0.022
0.05,-0.25,0.0,0.0,0.0,0.0,-0.016,-0.009,-0.041,0.151,0.215,0.319,-0.023
0.07,-0.25,0.0,0.0,0.0,0.0,-0.017,-0.016,-0.053,0.151,0.218,0.323,-0.023
0.09,-0.269,0.0,0.0,0.0,0.0,-0.015,0.038,-0.057,0.152,0.221,0.328,-0.023
0.11,-0.269,0.0,0.0,0.0,0.0,-0.016,0.059,-0.051,0.132,0.214,0.309,-0.024
0.12,-0.269,0.0,0.0,0.0,0.0,-0.017,0.037,-0.058,0.132,0.215,0.311,-0.024
0.14,-0.269,0.0,0.0,0.0,0.0,-0.016,0.021,-0.058,0.132,0.218,0.313,-0.024
0.16,-0.269,5.0,0.0,0.0,0.0,-0.017,0.099,-0.059,0.133,0.22,0.315,-0.025
0.18,-0.32,4.0,1.0,1.0,0.0,-0.017,1.913,0.045,0.134,0.223,0.317,-0.025
0.2,-0.32,11.0,3.0,4.0,2.0,-0.007,3.549,-0.143,0.118,0.215,0.302,-0.024
0.22,-0.32,11.0,7.0,7.0,6.0,-0.014,4.784,0.005,0.139,0.217,0.303,-0.025
0.24,-0.909,57.0,10.0,12.0,10.0,-0.024,3.464,0.388,0.178,0.22,0.304,-0.025
0.26,-0.909,57.0,14.0,12.0,14.0,-0.028,3.637,-0.054,0.233,0.224,0.304,-0.025
0.28,-1.6,142.0,17.0,17.0,18.0,-0.02,3.671,-0.036,0.302,0.229,0.305,-0.026
0.3,-1.6,142.0,24.0,20.0,21.0,-0.028,3.604,0.154,0.37,0.232,0.301,-0.025
0.32,-1.6,183.0,36.0,24.0,24.0,-0.026,3.515,-0.108,0.449,0.24,0.301,-0.026
0.34,-2.07,226.0,55.0,26.0,28.0,-0.017,3.147,0.072,0.523,0.25,0.301,-0.026
0.36,-2.07,266.0,72.0,30.0,32.0,-0.013,3.631,0.682,0.595,0.261,0.301,-0.027
0.38,-2.39,295.0,89.0,34.0,35.0,-0.016,3.333,0.056,0.667,0.273,0.301,-0.027
0.4,-2.39,327.0,110.0,37.0,38.0,-0.012,3.041,-0.126,0.728,0.283,0.301,-0.026
0.42,-2.39,368.0,141.0,40.0,42.0,-0.007,3.063,-0.138,0.798,0.298,0.301,-0.027
0.44,-2.675,405.0,173.0,43.0,45.0,-0.017,4.192,0.386,0.864,0.314,0.301,-0.027
0.46,-2.675,422.0,201.0,48.0,49.0,-0.029,4.528,-0.092,0.933,0.332,0.301,-0.027
0.48,-2.675,426.0,218.0,53.0,55.0,-0.034,4.886,-0.117,1.007,0.351,0.301,-0.028
0.5,-2.928,411.0,233.0,59.0,59.0,-0.041,4.628,-0.163,1.087,0.372,0.301,-0.027
0.52,-2.928,391.0,239.0,64.0,65.0,-0.05,4.817,-0.598,1.175,0.395,0.301,-0.028
0.54,-3.098,364.0,246.0,68.0,69.0,-0.056,4.859,-0.32,1.272,0.419,0.302,-0.028
0.56,-3.098,345.0,249.0,74.0,74.0,-0.052,5.365,-0.304,1.374,0.445,0.301,-0.029
0.58,-3.114,329.0,235.0,78.0,80.0,-0.049,5.936,0.552,1.478,0.473,0.301,-0.03
0.6,-3.114,308.0,204.0,85.0,86.0,-0.054,6.68,1.499,1.596,0.509,0.292,-0.029
0.62,-3.114,267.0,161.0,92.0,93.0,-0.055,6.931,0.642,1.709,0.541,0.291,-0.03
0.64,-2.474,221.0,108.0,100.0,100.0,-0.047,4.55,-0.433,1.831,0.576,0.289,-0.031
0.66,-2.474,181.0,100.0,104.0,105.0,-0.048,4.844,0.105,1.955,0.614,0.288,-0.032
